course_title,institution,course_id
Basic Statistics,University of Amsterdam,basic-statistics
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,python-data-visualization
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,uva-darden-design-thinking-social-sector
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,introduction-portfolio-construction-python
Data Analytics for Lean Six Sigma,University of Amsterdam,data-analytics-for-lean-six-sigma
Refugees in the 21st Century,University of London,refugees-21st-century
Building Containerized Applications on AWS,Amazon Web Services,containerized-apps-on-aws
Business Transformation with Google Cloud,Google Cloud,business-transformation-google-cloud
Version Control with Git,Atlassian,version-control-with-git
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),transmedia-storytelling
Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,excel-aplicado-negocios-avanzado
Introduction to Public Speaking,University of Washington,public-speaking
Building Conversational Experiences with Dialogflow,Google Cloud,conversational-experiences-dialogflow
Guitar for Beginners,Berklee College of Music,guitar
Managing Project Risks and Changes,"University of California, Irvine",project-risk-management
L'excellence opérationnelle en pratique,ESSEC Business School,excellence-operationnelle
Introduction to Cloud Computing,IBM,introduction-to-cloud
Sample-based Learning Methods,Alberta Machine Intelligence Institute,sample-based-learning-methods
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,progfun1
Introduction to Blockchain Technologies,INSEAD,introduction-blockchain-technologies
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,environmental-law
"Cameras, Exposure, and Photography",Michigan State University,exposure-photography
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,democracia
Dentistry 101,University of Michigan,dentistry101
"Python Functions, Files, and Dictionaries",University of Michigan,python-functions-files-dictionaries
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,anticorrupcion-introduccion
Positive Psychology: Applications and Interventions,University of Pennsylvania,positive-psychology-applications
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,introduction-embedded-systems
Personal & Family Financial Planning,University of Florida,family-planning
A Law Student's Toolkit,Yale University,law-student
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,intro-data-science-programacion-estadistica-r
"Cybersecurity Roles, Processes & Operating System Security",IBM,cybersecurity-roles-processes-operating-system-security
Computational Neuroscience,University of Washington,computational-neuroscience
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,smart-cities
Getting Started with Go,"University of California, Irvine",golang-getting-started
Introduction to Economic Theories,Erasmus University Rotterdam,intro-economic-theories
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",principles-of-microeconomics
Introduction to Personal Branding,University of Virginia,personal-branding
Love as a Force for Social Justice,Stanford University,love-social-justice
Mathematical Thinking in Computer Science,University of California San Diego,what-is-a-proof
Introduction to Genetics and Evolution,Duke University,genetics-evolution
Основы программирования на Python,National Research University Higher School of Economics,python-osnovy-programmirovaniya
Improving Communication Skills,University of Pennsylvania,wharton-communication-skills
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,introduction-trading-machine-learning-gcp
Python Programming: A Concise Introduction,Wesleyan University,python-programming-introduction
"The Modern World, Part Two: Global History since 1910",University of Virginia,modern-world-2
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,plantknows
Excel Fundamentals for Data Analysis,Macquarie University,excel-data-analysis-fundamentals
Finanzas personales,Universidad Nacional Autónoma de México,finanzas-personales
English Composition I,Duke University,english-composition
Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,healthcarejobs
Introduction to Self-Driving Cars,University of Toronto,intro-self-driving-cars
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,corporate-commercial-law-part1
Blockchain Basics,University at Buffalo,blockchain-basics
Foundations of Business Strategy,University of Virginia,uva-darden-foundations-business-strategy
